date,tavg_f,Location
2018-01-01,56.120000000000005,Anaheim
2018-01-02,60.8,Anaheim
2018-01-03,61.34,Anaheim
2018-01-04,62.06,Anaheim
2018-01-05,62.24,Anaheim
2018-01-06,62.42,Anaheim
2018-01-07,62.78,Anaheim
2018-01-08,63.14,Anaheim
2018-01-09,57.56,Anaheim
2018-01-10,57.019999999999996,Anaheim
2018-01-11,57.74,Anaheim
2018-01-12,59.0,Anaheim
2018-01-13,68.36,Anaheim
2018-01-14,69.25999999999999,Anaheim
2018-01-15,60.8,Anaheim
2018-01-16,59.900000000000006,Anaheim
2018-01-17,61.88,Anaheim
2018-01-18,62.6,Anaheim
2018-01-19,59.0,Anaheim
2018-01-20,55.76,Anaheim
2018-01-21,52.16,Anaheim
2018-01-22,54.68,Anaheim
2018-01-23,59.18,Anaheim
2018-01-24,61.16,Anaheim
2018-01-25,53.96,Anaheim
2018-01-26,54.5,Anaheim
2018-01-27,58.28,Anaheim
2018-01-28,68.9,Anaheim
2018-01-29,75.2,Anaheim
2018-01-30,66.38,Anaheim
2018-01-31,63.14,Anaheim
2018-02-01,62.24,Anaheim
2018-02-02,64.03999999999999,Anaheim
2018-02-03,64.03999999999999,Anaheim
2018-02-04,63.68000000000001,Anaheim
2018-02-05,60.620000000000005,Anaheim
2018-02-06,59.540000000000006,Anaheim
2018-02-07,64.4,Anaheim
2018-02-08,65.84,Anaheim
2018-02-09,59.72,Anaheim
2018-02-10,59.72,Anaheim
2018-02-11,59.72,Anaheim
2018-02-12,57.379999999999995,Anaheim
2018-02-13,57.74,Anaheim
2018-02-14,61.88,Anaheim
2018-02-15,61.7,Anaheim
2018-02-16,63.68000000000001,Anaheim
2018-02-17,60.980000000000004,Anaheim
2018-02-18,57.74,Anaheim
2018-02-19,53.96,Anaheim
2018-02-20,49.82,Anaheim
2018-02-21,51.620000000000005,Anaheim
2018-02-22,52.16,Anaheim
2018-02-23,51.620000000000005,Anaheim
2018-02-24,50.540000000000006,Anaheim
2018-02-25,55.22,Anaheim
2018-02-26,54.32,Anaheim
2018-02-27,50.540000000000006,Anaheim
2018-02-28,51.26,Anaheim
2018-03-01,53.96,Anaheim
2018-03-02,54.5,Anaheim
2018-03-03,55.76,Anaheim
2018-03-04,52.879999999999995,Anaheim
2018-03-05,59.72,Anaheim
2018-03-06,64.94,Anaheim
2018-03-07,60.26,Anaheim
2018-03-08,60.620000000000005,Anaheim
2018-03-09,60.44,Anaheim
2018-03-10,59.18,Anaheim
2018-03-11,61.88,Anaheim
2018-03-12,63.14,Anaheim
2018-03-13,63.14,Anaheim
2018-03-14,60.8,Anaheim
2018-03-15,59.540000000000006,Anaheim
2018-03-16,56.120000000000005,Anaheim
2018-03-17,56.480000000000004,Anaheim
2018-03-18,55.22,Anaheim
2018-03-19,61.88,Anaheim
2018-03-20,63.31999999999999,Anaheim
2018-03-21,63.31999999999999,Anaheim
2018-03-22,62.24,Anaheim
2018-03-23,61.88,Anaheim
2018-03-24,58.28,Anaheim
2018-03-25,57.74,Anaheim
2018-03-26,58.46,Anaheim
2018-03-27,62.06,Anaheim
2018-03-28,62.78,Anaheim
2018-03-29,63.31999999999999,Anaheim
2018-03-30,63.86,Anaheim
2018-03-31,61.519999999999996,Anaheim
2018-04-01,60.08,Anaheim
2018-04-02,62.06,Anaheim
2018-04-03,63.31999999999999,Anaheim
2018-04-04,59.900000000000006,Anaheim
2018-04-05,61.16,Anaheim
2018-04-06,62.6,Anaheim
2018-04-07,64.03999999999999,Anaheim
2018-04-08,66.02,Anaheim
2018-04-09,73.4,Anaheim
2018-04-10,72.86,Anaheim
2018-04-11,66.74000000000001,Anaheim
2018-04-12,63.86,Anaheim
2018-04-13,65.84,Anaheim
2018-04-14,70.34,Anaheim
2018-04-15,64.75999999999999,Anaheim
2018-04-16,60.08,Anaheim
2018-04-17,59.72,Anaheim
2018-04-18,61.519999999999996,Anaheim
2018-04-19,57.56,Anaheim
2018-04-20,62.42,Anaheim
2018-04-21,68.53999999999999,Anaheim
2018-04-22,68.18,Anaheim
2018-04-23,64.75999999999999,Anaheim
2018-04-24,62.42,Anaheim
2018-04-25,64.03999999999999,Anaheim
2018-04-26,62.06,Anaheim
2018-04-27,62.42,Anaheim
2018-04-28,62.96,Anaheim
2018-04-29,63.14,Anaheim
2018-04-30,61.34,Anaheim
2018-05-01,58.46,Anaheim
2018-05-02,58.46,Anaheim
2018-05-03,62.96,Anaheim
2018-05-04,71.96000000000001,Anaheim
2018-05-05,73.94,Anaheim
2018-05-06,69.62,Anaheim
2018-05-07,65.48,Anaheim
2018-05-08,66.02,Anaheim
2018-05-09,67.28,Anaheim
2018-05-10,66.38,Anaheim
2018-05-11,62.6,Anaheim
2018-05-12,62.24,Anaheim
2018-05-13,64.03999999999999,Anaheim
2018-05-14,64.22,Anaheim
2018-05-15,63.68000000000001,Anaheim
2018-05-16,64.94,Anaheim
2018-05-17,64.4,Anaheim
2018-05-18,64.58000000000001,Anaheim
2018-05-19,64.4,Anaheim
2018-05-20,65.12,Anaheim
2018-05-21,62.96,Anaheim
2018-05-22,64.58000000000001,Anaheim
2018-05-23,65.12,Anaheim
2018-05-24,63.31999999999999,Anaheim
2018-05-25,65.48,Anaheim
2018-05-26,64.94,Anaheim
2018-05-27,65.84,Anaheim
2018-05-28,67.1,Anaheim
2018-05-29,65.84,Anaheim
2018-05-30,64.75999999999999,Anaheim
2018-05-31,67.1,Anaheim
2018-06-01,67.82,Anaheim
2018-06-02,70.7,Anaheim
2018-06-03,70.88,Anaheim
2018-06-04,67.28,Anaheim
2018-06-05,66.02,Anaheim
2018-06-06,67.64,Anaheim
2018-06-07,69.08000000000001,Anaheim
2018-06-08,72.32,Anaheim
2018-06-09,71.42,Anaheim
2018-06-10,71.78,Anaheim
2018-06-11,73.03999999999999,Anaheim
2018-06-12,71.6,Anaheim
2018-06-13,71.6,Anaheim
2018-06-14,72.32,Anaheim
2018-06-15,71.06,Anaheim
2018-06-16,66.38,Anaheim
2018-06-17,66.2,Anaheim
2018-06-18,67.82,Anaheim
2018-06-19,68.18,Anaheim
2018-06-20,68.53999999999999,Anaheim
2018-06-21,69.62,Anaheim
2018-06-22,71.96000000000001,Anaheim
2018-06-23,67.1,Anaheim
2018-06-24,68.18,Anaheim
2018-06-25,70.7,Anaheim
2018-06-26,71.78,Anaheim
2018-06-27,71.78,Anaheim
2018-06-28,69.25999999999999,Anaheim
2018-06-29,69.25999999999999,Anaheim
2018-06-30,69.80000000000001,Anaheim
2018-07-01,70.88,Anaheim
2018-07-02,72.14,Anaheim
2018-07-03,71.24000000000001,Anaheim
2018-07-04,73.03999999999999,Anaheim
2018-07-05,78.25999999999999,Anaheim
2018-07-06,89.96000000000001,Anaheim
2018-07-07,84.56,Anaheim
2018-07-08,83.84,Anaheim
2018-07-09,81.14,Anaheim
2018-07-10,78.44,Anaheim
2018-07-11,78.25999999999999,Anaheim
2018-07-12,78.08000000000001,Anaheim
2018-07-13,78.44,Anaheim
2018-07-14,78.44,Anaheim
2018-07-15,75.92,Anaheim
2018-07-16,76.1,Anaheim
2018-07-17,75.38,Anaheim
2018-07-18,75.02,Anaheim
2018-07-19,76.46000000000001,Anaheim
2018-07-20,75.92,Anaheim
2018-07-21,77.18,Anaheim
2018-07-22,79.34,Anaheim
2018-07-23,81.32,Anaheim
2018-07-24,80.78,Anaheim
2018-07-25,78.25999999999999,Anaheim
2018-07-26,76.28,Anaheim
2018-07-27,78.25999999999999,Anaheim
2018-07-28,75.92,Anaheim
2018-07-29,79.16,Anaheim
2018-07-30,82.22,Anaheim
2018-07-31,81.5,Anaheim
2018-08-01,82.22,Anaheim
2018-08-02,79.7,Anaheim
2018-08-03,79.7,Anaheim
2018-08-04,78.08000000000001,Anaheim
2018-08-05,78.98,Anaheim
2018-08-06,82.03999999999999,Anaheim
2018-08-07,81.86,Anaheim
2018-08-08,82.75999999999999,Anaheim
2018-08-09,83.48,Anaheim
2018-08-10,83.30000000000001,Anaheim
2018-08-11,81.68,Anaheim
2018-08-12,78.08000000000001,Anaheim
2018-08-13,76.82,Anaheim
2018-08-14,76.46000000000001,Anaheim
2018-08-15,76.1,Anaheim
2018-08-16,77.0,Anaheim
2018-08-17,78.62,Anaheim
2018-08-18,76.82,Anaheim
2018-08-19,76.82,Anaheim
2018-08-20,75.92,Anaheim
2018-08-21,76.64,Anaheim
2018-08-22,77.36,Anaheim
2018-08-23,76.82,Anaheim
2018-08-24,74.48,Anaheim
2018-08-25,74.30000000000001,Anaheim
2018-08-26,74.30000000000001,Anaheim
2018-08-27,73.22,Anaheim
2018-08-28,73.75999999999999,Anaheim
2018-08-29,76.1,Anaheim
2018-08-30,75.56,Anaheim
2018-08-31,73.58000000000001,Anaheim
2018-09-01,72.68,Anaheim
2018-09-02,72.14,Anaheim
2018-09-03,73.4,Anaheim
2018-09-04,73.4,Anaheim
2018-09-05,73.75999999999999,Anaheim
2018-09-06,72.14,Anaheim
2018-09-07,73.4,Anaheim
2018-09-08,75.56,Anaheim
2018-09-09,73.58000000000001,Anaheim
2018-09-10,72.86,Anaheim
2018-09-11,71.42,Anaheim
2018-09-12,72.68,Anaheim
2018-09-13,74.84,Anaheim
2018-09-14,77.18,Anaheim
2018-09-15,75.74000000000001,Anaheim
2018-09-16,74.48,Anaheim
2018-09-17,74.12,Anaheim
2018-09-18,71.96000000000001,Anaheim
2018-09-19,70.88,Anaheim
2018-09-20,71.06,Anaheim
2018-09-21,72.68,Anaheim
2018-09-22,74.12,Anaheim
2018-09-23,72.68,Anaheim
2018-09-24,69.98,Anaheim
2018-09-25,69.62,Anaheim
2018-09-26,70.52,Anaheim
2018-09-27,72.5,Anaheim
2018-09-28,68.0,Anaheim
2018-09-29,68.53999999999999,Anaheim
2018-09-30,69.08000000000001,Anaheim
2018-10-01,76.1,Anaheim
2018-10-02,71.42,Anaheim
2018-10-03,69.98,Anaheim
2018-10-04,69.08000000000001,Anaheim
2018-10-05,68.53999999999999,Anaheim
2018-10-06,69.44,Anaheim
2018-10-07,69.44,Anaheim
2018-10-08,69.08000000000001,Anaheim
2018-10-09,68.72,Anaheim
2018-10-10,67.64,Anaheim
2018-10-11,67.28,Anaheim
2018-10-12,68.72,Anaheim
2018-10-13,64.75999999999999,Anaheim
2018-10-14,66.56,Anaheim
2018-10-15,69.62,Anaheim
2018-10-16,67.46000000000001,Anaheim
2018-10-17,68.36,Anaheim
2018-10-18,70.34,Anaheim
