time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Location
2018-01-01,13.4,7.8,21.1,0.0,0.0,,2.9,,1020.2,,Anaheim
2018-01-02,16.0,10.6,26.1,0.0,0.0,,2.3,,1019.0,,Anaheim
2018-01-03,16.3,10.6,23.3,0.0,0.0,,1.9,,1017.1,,Anaheim
2018-01-04,16.7,10.0,25.0,0.0,0.0,,2.0,,1019.4,,Anaheim
2018-01-05,16.8,11.1,23.9,0.0,0.0,,4.0,,1021.1,,Anaheim
2018-01-06,16.9,13.9,21.1,0.0,0.0,,3.3,,1019.4,,Anaheim
2018-01-07,17.1,13.9,22.2,0.0,0.0,,2.2,,1017.3,,Anaheim
2018-01-08,17.3,16.1,20.6,6.1,0.0,,7.1,,1012.7,,Anaheim
2018-01-09,14.2,11.7,17.8,31.5,0.0,181.0,9.3,,1008.1,,Anaheim
2018-01-10,13.9,10.6,18.3,0.0,0.0,,4.7,,1016.5,,Anaheim
2018-01-11,14.3,8.9,21.7,0.0,0.0,,2.6,,1021.7,,Anaheim
2018-01-12,15.0,8.9,23.3,0.0,0.0,,1.6,,1020.3,,Anaheim
2018-01-13,20.2,9.4,30.0,0.0,0.0,355.0,9.8,,1018.6,,Anaheim
2018-01-14,20.7,13.3,28.3,0.0,0.0,,6.0,,1018.9,,Anaheim
2018-01-15,16.0,9.4,22.8,0.0,0.0,,3.1,,1018.8,,Anaheim
2018-01-16,15.5,11.1,21.7,0.0,0.0,,2.3,,1019.7,,Anaheim
2018-01-17,16.6,10.0,25.0,0.0,0.0,,1.9,,1019.6,,Anaheim
2018-01-18,17.0,10.6,23.3,0.0,0.0,,5.0,,1017.6,,Anaheim
2018-01-19,15.0,12.2,17.8,0.0,0.0,,6.5,,1014.7,,Anaheim
2018-01-20,13.2,7.2,17.8,0.0,0.0,291.0,8.4,,1015.9,,Anaheim
2018-01-21,11.2,3.9,18.3,0.0,0.0,,2.6,,1024.0,,Anaheim
2018-01-22,12.6,4.4,21.1,0.0,0.0,,2.4,,1022.7,,Anaheim
2018-01-23,15.1,5.0,25.6,0.0,0.0,301.0,4.7,,1019.9,,Anaheim
2018-01-24,16.2,7.2,25.0,0.0,0.0,,4.3,,1018.2,,Anaheim
2018-01-25,12.2,7.2,17.2,0.0,0.0,,5.1,,1017.8,,Anaheim
2018-01-26,12.5,5.6,20.6,0.0,0.0,,3.9,,1021.4,,Anaheim
2018-01-27,14.6,6.1,25.0,0.0,0.0,,2.8,,1021.4,,Anaheim
2018-01-28,20.5,8.3,31.7,0.0,0.0,44.0,11.8,,1020.0,,Anaheim
2018-01-29,24.0,13.9,31.7,0.0,0.0,27.0,13.4,,1018.3,,Anaheim
2018-01-30,19.1,13.3,28.3,0.0,0.0,,2.3,,1016.0,,Anaheim
2018-01-31,17.3,10.6,25.6,0.0,0.0,,3.5,,1013.9,,Anaheim
2018-02-01,16.8,9.4,26.7,0.0,,,2.7,,1015.3,,Anaheim
2018-02-02,17.8,9.4,27.8,0.0,0.0,,3.2,,1017.6,,Anaheim
2018-02-03,17.8,9.4,28.3,0.0,0.0,,2.8,,1017.4,,Anaheim
2018-02-04,17.6,10.0,27.2,0.0,0.0,,2.3,,1016.3,,Anaheim
2018-02-05,15.9,10.6,23.3,0.0,0.0,,3.8,,1014.0,,Anaheim
2018-02-06,15.3,12.2,22.8,0.0,0.0,,4.7,,1015.8,,Anaheim
2018-02-07,18.0,9.4,30.6,0.0,0.0,,4.4,,1020.6,,Anaheim
2018-02-08,18.8,8.9,30.0,0.0,0.0,,2.5,,1017.9,,Anaheim
2018-02-09,15.4,10.0,22.2,0.0,0.0,,4.7,,1014.6,,Anaheim
2018-02-10,15.4,12.2,18.3,0.0,0.0,,7.0,,1012.1,,Anaheim
2018-02-11,15.4,9.4,22.8,0.0,0.0,,6.2,,1011.8,,Anaheim
2018-02-12,14.1,11.1,17.2,0.3,0.0,,8.1,,1011.2,,Anaheim
2018-02-13,14.3,10.0,18.9,0.0,0.0,,6.8,,1018.7,,Anaheim
2018-02-14,16.6,12.8,21.1,0.0,0.0,,3.9,,1018.5,,Anaheim
2018-02-15,16.5,10.6,23.3,0.0,0.0,,4.1,,1018.5,,Anaheim
2018-02-16,17.6,9.4,24.4,0.0,0.0,,6.1,,1019.2,,Anaheim
2018-02-17,16.1,9.4,23.9,0.0,0.0,,5.4,,1018.2,,Anaheim
2018-02-18,14.3,8.3,20.6,0.0,0.0,,6.7,,1013.9,,Anaheim
2018-02-19,12.2,9.4,15.0,0.0,0.0,283.0,12.8,,1012.3,,Anaheim
2018-02-20,9.9,2.8,16.1,0.0,0.0,243.0,8.2,,1019.4,,Anaheim
2018-02-21,10.9,6.7,15.6,0.0,0.0,,7.7,,1020.0,,Anaheim
2018-02-22,11.2,6.1,16.7,0.0,0.0,198.0,8.9,,1022.2,,Anaheim
2018-02-23,10.9,6.1,16.1,0.0,0.0,289.0,8.8,,1021.8,,Anaheim
2018-02-24,10.3,2.8,17.8,0.0,0.0,,4.6,,1024.8,,Anaheim
2018-02-25,12.9,5.6,21.7,0.0,0.0,,6.6,,1021.1,,Anaheim
2018-02-26,12.4,6.1,20.0,3.0,0.0,,7.6,,1015.3,,Anaheim
2018-02-27,10.3,7.2,13.3,3.8,0.0,,5.7,,1014.7,,Anaheim
2018-02-28,10.7,5.0,16.1,0.0,0.0,,6.6,,1021.8,,Anaheim
2018-03-01,12.2,7.2,17.2,0.0,0.0,,6.0,,1021.4,,Anaheim
2018-03-02,12.5,10.0,15.6,7.6,0.0,146.0,6.8,,1018.3,,Anaheim
2018-03-03,13.2,10.0,17.8,1.3,0.0,,6.2,,1017.5,,Anaheim
2018-03-04,11.6,5.0,18.3,0.0,0.0,,3.3,,1021.0,,Anaheim
2018-03-05,15.4,6.1,23.9,0.0,0.0,,8.1,,1019.2,,Anaheim
2018-03-06,18.3,9.4,26.1,0.0,0.0,,7.5,,1016.6,,Anaheim
2018-03-07,15.7,9.4,22.8,0.0,0.0,,1.3,,1016.5,,Anaheim
2018-03-08,15.9,9.4,23.3,0.0,0.0,,3.6,,1016.7,,Anaheim
2018-03-09,15.8,11.7,20.6,0.0,0.0,,7.3,,1014.7,,Anaheim
2018-03-10,15.1,14.4,16.7,9.1,0.0,152.0,6.1,,1014.5,,Anaheim
