time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,12.1,6.7,15.6,,,20.0,14.9,,1021.7,
2018-01-02,9.1,6.7,12.8,,,8.0,21.4,,1024.4,
2018-01-03,8.1,2.2,11.7,,,327.0,21.4,,1017.0,
2018-01-04,4.6,-1.7,11.7,,,293.0,14.3,,1020.8,
2018-01-05,7.0,1.7,12.8,0.0,,,9.9,,1027.2,
2018-01-06,8.0,2.8,13.9,0.0,,6.0,9.1,,1030.2,
2018-01-07,12.0,6.1,18.9,0.0,,37.0,14.9,,1029.1,
2018-01-08,16.6,11.7,21.7,0.0,,90.0,8.7,,1022.1,
2018-01-09,19.8,16.1,25.6,,,73.0,12.3,,1018.6,
2018-01-10,20.6,18.9,23.9,,,72.0,8.8,,1017.6,
2018-01-11,21.5,17.8,27.2,0.0,,126.0,9.5,,1016.6,
2018-01-12,21.5,17.8,27.8,,,201.0,18.1,,1013.3,
2018-01-13,13.7,8.9,17.2,0.0,,299.0,14.6,,1020.5,
2018-01-14,9.9,4.4,15.6,0.0,,8.0,15.3,,1027.7,
2018-01-15,11.9,7.8,18.9,0.0,,13.0,15.8,,1028.1,
2018-01-16,14.5,8.3,21.7,0.0,,16.0,10.6,,1027.4,
2018-01-17,13.3,6.7,21.7,0.0,,,12.8,,1024.8,
2018-01-18,5.0,-1.1,11.1,0.0,,21.0,13.6,,1028.4,
2018-01-19,10.1,2.2,17.8,0.0,,,4.8,,1026.9,
2018-01-20,14.1,7.2,20.6,0.0,,,3.7,,1025.4,
2018-01-21,18.9,14.4,26.1,0.0,,62.0,10.3,,1023.3,
2018-01-22,20.8,13.9,27.2,0.0,,,11.7,,1019.8,
2018-01-23,21.7,16.1,27.8,,,234.0,13.1,,1017.9,
2018-01-24,16.1,11.1,21.7,0.0,,349.0,10.5,,1022.4,
2018-01-25,15.0,11.1,20.6,0.0,,29.0,17.2,,1028.3,
2018-01-26,17.5,12.2,23.9,,,71.0,19.5,,1030.1,
2018-01-27,19.9,16.1,24.4,,,100.0,16.5,,1026.8,
2018-01-28,20.3,17.2,26.1,10.7,,113.0,11.0,,1020.7,
2018-01-29,20.2,14.4,23.3,7.9,,281.0,16.1,,1015.5,
2018-01-30,13.0,8.3,17.2,0.0,,13.0,16.0,,1023.5,
2018-01-31,13.7,8.3,20.6,0.0,,62.0,14.7,,1025.8,
2018-02-01,16.4,9.4,22.8,0.0,,,5.1,,1023.7,
