time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,17.9,16.8,20.0,,,74.0,13.3,,,
2018-01-02,19.1,17.0,22.0,,,90.0,15.0,,,
2018-01-03,21.2,19.0,25.0,,,100.0,18.7,,,
2018-01-04,20.5,19.0,23.0,,,98.0,20.3,,,
2018-01-05,19.9,18.0,22.1,,,62.0,11.9,,,
2018-01-06,17.1,16.2,18.0,,,89.0,21.8,,,
2018-01-07,17.8,15.5,19.1,,,82.0,22.5,,,
2018-01-08,15.7,9.5,20.0,,,8.0,24.7,,,
2018-01-09,8.8,7.5,11.0,,,30.0,18.3,,,
2018-01-10,13.3,11.0,16.0,,,35.0,21.1,,,
2018-01-11,14.9,13.0,17.4,,,45.0,22.3,,,
2018-01-12,13.6,11.0,17.0,,,48.0,18.9,,,
2018-01-13,13.7,11.0,17.0,,,77.0,17.0,,,
2018-01-14,15.4,12.0,20.0,,,62.0,14.9,,,
2018-01-15,16.3,13.0,19.0,,,82.0,13.0,,,
2018-01-16,18.0,15.0,22.0,,,354.0,9.2,,,
2018-01-17,19.5,16.0,24.0,,,,8.5,,,
2018-01-18,20.0,17.0,22.0,,,65.0,13.3,,,
2018-01-19,19.9,18.9,21.0,,,77.0,11.0,,,
2018-01-20,20.4,18.7,23.1,,,90.0,16.4,,,
2018-01-21,19.5,17.6,22.3,,,94.0,15.3,,,
2018-01-22,20.6,17.5,24.0,,,,8.2,,,
2018-01-23,20.1,18.0,22.0,,,83.0,15.8,,,
2018-01-24,19.2,17.7,21.0,,,101.0,28.1,,,
2018-01-25,18.4,16.9,21.0,,,98.0,27.2,,,
2018-01-26,18.2,16.8,21.0,,,59.0,13.3,,,
2018-01-27,16.3,14.0,18.0,,,75.0,17.3,,,
2018-01-28,15.9,12.4,18.0,,,3.0,20.4,,,
2018-01-29,9.1,7.9,11.0,,,,20.0,,,
2018-01-30,8.2,7.0,9.1,,,25.0,14.3,,,
2018-01-31,8.6,7.9,9.2,,,5.0,23.0,,,
2018-02-01,9.8,6.0,13.0,,,16.0,14.7,,,
2018-02-02,11.1,9.4,13.0,,,12.0,19.6,,,
2018-02-03,10.4,8.8,13.0,,,33.0,15.8,,,
2018-02-04,10.2,9.0,12.0,,,27.0,20.1,,,
2018-02-05,9.8,7.7,12.0,,,19.0,17.2,,,
2018-02-06,11.7,8.0,16.0,,,44.0,16.1,,,
2018-02-07,13.2,11.0,15.0,,,45.0,13.2,,,
2018-02-08,14.1,12.0,18.0,,,35.0,15.2,,,
2018-02-09,16.0,14.0,19.0,,,50.0,16.6,,,
2018-02-10,18.0,16.0,22.0,,,,9.2,,,
2018-02-11,16.2,15.0,17.0,,,7.0,16.3,,,
2018-02-12,15.2,12.0,18.0,,,37.0,15.6,,,
2018-02-13,15.6,12.0,18.4,,,74.0,12.4,,,
2018-02-14,18.6,15.8,21.6,,,85.0,17.2,,,
2018-02-15,20.2,17.0,25.0,,,14.0,9.3,,,
2018-02-16,21.1,16.9,26.0,,,,5.4,,,
2018-02-17,18.8,17.8,21.0,,,93.0,25.0,,,
2018-02-18,19.5,17.4,22.0,,,68.0,16.1,,,
2018-02-19,21.7,18.0,26.0,,,,7.0,,,
2018-02-20,21.9,20.0,25.0,,,,10.4,,,
2018-02-21,19.6,17.0,21.0,,,87.0,19.0,,,
2018-02-22,15.3,13.0,18.0,,,61.0,15.2,,,
2018-02-23,14.9,12.0,17.3,,,61.0,14.1,,,
2018-02-24,18.4,16.0,20.3,,,20.0,14.5,,,
2018-02-25,19.8,18.8,21.2,,,,13.0,,,
2018-02-26,18.3,17.0,20.0,,,71.0,13.6,,,
2018-02-27,19.3,16.3,22.0,,,88.0,15.6,,,
2018-02-28,21.9,19.0,26.0,,,21.0,11.5,,,
2018-03-01,21.8,19.0,24.0,,,,10.2,,,
2018-03-02,22.9,20.0,26.6,,,89.0,18.9,,,
2018-03-03,24.2,22.7,27.2,,,117.0,17.5,,,
2018-03-04,24.8,23.0,26.0,,,145.0,15.5,,,
2018-03-05,26.0,23.8,28.5,,,44.0,10.5,,,
2018-03-06,21.3,19.0,25.0,,,90.0,29.4,,,
2018-03-07,20.6,18.0,23.3,,,91.0,24.1,,,
2018-03-08,14.6,12.9,22.0,,,18.0,20.0,,,
