time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,7.6,6.4,9.5,10.7,,236.0,31.6,,1004.7,
2018-01-02,7.8,6.0,11.6,4.5,,221.0,22.7,,1013.2,
2018-01-03,9.9,7.0,13.6,9.6,,251.0,38.4,,1004.9,
2018-01-04,10.7,7.3,14.0,9.5,,234.0,27.0,,1002.4,
2018-01-05,8.9,5.6,10.4,0.0,,215.0,20.2,,1000.9,
2018-01-06,6.6,5.0,7.7,4.0,,123.0,10.1,,1006.7,
2018-01-07,5.8,5.1,6.3,0.2,,36.0,26.0,,1016.5,
2018-01-08,5.7,4.6,7.6,0.0,,48.0,18.3,,1017.3,
2018-01-09,5.6,3.0,8.0,2.2,,153.0,13.9,,1010.0,
2018-01-10,7.6,6.4,8.9,0.4,,188.0,14.4,,1008.6,
2018-01-11,6.4,4.9,7.3,0.6,,51.0,10.8,,1016.0,
2018-01-12,5.2,3.7,6.2,0.0,,5.0,10.1,,1025.8,
2018-01-13,4.0,2.4,5.9,0.0,,97.0,15.2,,1021.3,
2018-01-14,3.5,0.2,8.4,0.0,,115.0,8.6,,1017.8,
2018-01-15,6.6,3.3,10.0,10.3,,213.0,27.8,,1009.8,
2018-01-16,7.5,5.6,9.2,7.8,,250.0,29.8,,1001.6,
2018-01-17,5.2,3.1,8.0,3.4,,257.0,30.5,,1010.1,
2018-01-18,8.4,6.0,10.6,8.3,,251.0,31.0,,1007.2,
2018-01-19,4.9,3.6,6.6,2.2,,250.0,17.3,,1013.0,
2018-01-20,6.5,3.8,10.1,7.6,,235.0,23.2,,1005.4,
2018-01-21,6.3,5.0,10.4,10.4,,165.0,15.4,,1014.3,
2018-01-22,10.3,8.1,12.1,3.6,,272.0,19.5,,1013.6,
2018-01-23,9.4,7.7,12.1,0.6,,208.0,19.6,,1023.7,
2018-01-24,12.1,11.4,13.1,3.2,,204.0,33.2,,1018.2,
2018-01-25,8.8,7.7,11.0,2.2,,210.0,16.3,,1013.8,
2018-01-26,6.8,5.1,9.7,1.4,,205.0,9.7,,1019.3,
2018-01-27,4.3,3.1,5.6,0.2,,197.0,12.9,,1032.0,
2018-01-28,8.1,4.4,10.9,0.0,,223.0,17.2,,1035.9,
2018-01-29,9.9,9.1,10.6,0.0,,246.0,17.6,,1033.4,
2018-01-30,9.5,8.7,10.8,0.2,,226.0,12.4,,1029.3,
2018-01-31,8.2,5.5,9.2,10.5,,230.0,27.8,,1013.3,
2018-02-01,4.1,2.3,7.8,0.4,,259.0,18.6,,1005.6,
2018-02-02,4.1,2.4,6.1,0.2,,281.0,16.4,,1009.9,
2018-02-03,3.3,1.5,4.6,5.4,,216.0,10.6,,1008.8,
2018-02-04,2.0,-0.3,3.7,0.2,,39.0,21.3,,1017.4,
2018-02-05,-0.5,-2.0,0.8,2.6,,27.0,17.6,,1021.3,
2018-02-06,-0.6,-1.4,0.3,10.7,61.0,18.0,20.5,,1012.7,
2018-02-07,-1.6,-3.6,-0.5,0.8,109.0,8.0,20.3,,1016.6,
2018-02-08,-1.9,-5.9,3.3,0.0,61.0,345.0,6.9,,1021.9,
2018-02-09,-1.2,-3.8,1.2,3.0,89.0,193.0,17.4,,1015.7,
2018-02-10,2.0,-1.8,6.0,3.0,51.0,228.0,16.0,,1018.4,
2018-02-11,4.3,2.0,7.6,1.6,10.0,243.0,22.1,,1008.6,
2018-02-12,2.2,-0.5,5.8,0.2,,238.0,13.7,,1017.8,
2018-02-13,1.3,-1.3,4.9,0.4,,166.0,21.0,,1010.9,
2018-02-14,2.3,0.8,4.1,7.9,,162.0,19.1,,1012.3,
2018-02-15,7.3,3.8,10.8,4.0,,221.0,14.0,,1013.6,
2018-02-16,5.5,2.3,8.7,0.0,,6.0,9.0,,1025.9,
2018-02-17,4.9,2.0,9.2,0.0,,41.0,10.5,,1021.8,
2018-02-18,3.6,0.9,8.4,0.0,,136.0,12.4,,1024.8,
2018-02-19,2.6,-0.1,4.9,3.6,,148.0,12.5,,1019.5,
2018-02-20,4.0,2.6,7.0,0.0,,43.0,12.6,,1017.6,
2018-02-21,1.8,-0.8,4.4,0.0,,20.0,18.7,,1022.4,
2018-02-22,0.8,-2.1,4.7,0.0,,31.0,21.9,,1019.5,
2018-02-23,0.1,-3.1,3.6,0.0,,40.0,22.4,,1017.2,
2018-02-24,1.1,-2.6,6.2,0.0,,55.0,25.0,,1016.9,
2018-02-25,-0.3,-2.8,3.2,0.0,,55.0,26.5,,1022.7,
2018-02-26,-3.0,-5.2,-0.3,0.0,,40.0,26.2,,1025.1,
2018-02-27,-4.8,-7.0,-2.3,0.0,,38.0,18.6,,1020.5,
2018-02-28,-4.9,-8.6,-1.4,0.0,,70.0,26.5,,1012.6,
2018-03-01,-1.6,-5.1,1.6,0.4,10.0,83.0,28.8,,997.2,
2018-03-02,3.5,0.5,9.3,1.2,,134.0,18.9,,990.8,
2018-03-03,5.0,1.2,9.7,0.0,,128.0,15.1,,993.2,
2018-03-04,5.4,3.0,7.2,7.5,,159.0,14.2,,993.8,
2018-03-05,7.9,4.5,12.5,0.0,,148.0,13.8,,992.4,
2018-03-06,8.4,6.3,11.6,5.0,,190.0,14.7,,991.0,
2018-03-07,6.4,4.2,9.7,4.0,,219.0,18.9,,996.4,
2018-03-08,5.8,3.6,8.6,1.4,,208.0,22.8,,1003.7,
2018-03-09,9.1,5.6,13.1,0.6,,155.0,13.2,,1005.0,
2018-03-10,13.1,10.6,17.0,16.1,,171.0,17.5,,999.5,
2018-03-11,13.5,9.8,17.4,0.2,,181.0,18.8,,993.3,
2018-03-12,10.8,9.1,12.7,2.6,,213.0,30.6,,994.0,
2018-03-13,9.1,7.3,11.8,1.2,,283.0,19.7,,1007.8,
2018-03-14,9.2,4.1,13.6,4.8,,135.0,20.1,,1007.0,
2018-03-15,10.0,8.5,13.3,2.6,,174.0,17.3,,993.0,
2018-03-16,9.9,6.9,13.8,0.8,,212.0,14.2,,1000.7,
2018-03-17,4.0,0.3,8.2,13.5,,22.0,15.1,,1000.0,
2018-03-18,-0.4,-1.3,1.2,2.0,,57.0,18.2,,1004.4,
2018-03-19,-0.4,-1.8,0.9,0.0,20.0,45.0,17.1,,1010.0,
2018-03-20,2.3,-2.5,7.7,0.0,,10.0,23.7,,1022.1,
2018-03-21,3.2,0.0,7.7,0.0,,3.0,15.8,,1030.7,
2018-03-22,4.6,0.2,7.8,0.0,,270.0,15.6,,1022.9,
2018-03-23,5.7,4.7,6.6,0.0,,205.0,18.2,,1008.5,
2018-03-24,8.5,5.2,12.8,0.0,,100.0,13.7,,999.6,
2018-03-25,10.1,5.5,15.1,0.0,,28.0,11.3,,1007.4,
2018-03-26,8.8,5.2,12.6,0.8,,352.0,12.4,,1016.9,
2018-03-27,8.4,5.6,12.8,5.2,,219.0,17.7,,1012.7,
2018-03-28,8.5,5.5,13.2,6.2,,246.0,22.1,,1006.6,
2018-03-29,7.0,3.4,11.4,2.4,,208.0,19.1,,1006.5,
